                                                             cve-2010-5278, cve-2015-9481, cve-2015-9482, cve-2017-1002201, cve-2018-1000877, cve-2018-1000878, cve-2018-1000879, cve-2018-1000880, cve-2018-1002204, cve-2018-19052, cve-2018-20685, cve-2018-5732, cve-2019-0065, cve-2019-0071, cve-2019-10923, cve-2019-10936, cve-2019-13411, cve-2019-13412, cve-2019-13929, cve-2019-14657, cve-2019-14810, cve-2019-15064, cve-2019-15065, cve-2019-15066, cve-2019-16925, cve-2019-16926, cve-2019-17115, cve-2019-17264, cve-2019-17449, cve-2019-17501, cve-2019-17507, cve-2019-17526, cve-2019-17543, cve-2019-17544, cve-2019-17629, cve-2019-17630, cve-2019-17664, cve-2019-18216, cve-2019-2934, cve-2019-2936, cve-2019-2937, cve-2019-2961, cve-2019-2965, cve-2019-8064, cve-2019-8160, cve-2019-8161, cve-2019-8162, cve-2019-8163, cve-2019-8164, cve-2019-8165, cve-2019-8166, cve-2019-8167, cve-2019-8168, cve-2019-8169, cve-2019-8170, cve-2019-8171, cve-2019-8172, cve-2019-8173, cve-2019-8174, cve-2019-8175, cve-2019-8176, cve-2019-8177, cve-2019-8178, cve-2019-8179, cve-2019-8180, cve-2019-8181, cve-2019-8182, cve-2019-8183, cve-2019-8184, cve-2019-8185, cve-2019-8186, cve-2019-8187, cve-2019-8188, cve-2019-8189, cve-2019-8190, cve-2019-8191, cve-2019-8192, cve-2019-8193, cve-2019-8194, cve-2019-8195, cve-2019-8196, cve-2019-8197, cve-2019-8198, cve-2019-8199, cve-2019-8200, cve-2019-8201, cve-2019-8202, cve-2019-8203, cve-2019-8204, cve-2019-8205, cve-2019-8206, cve-2019-8207, cve-2019-8208, cve-2019-8209, cve-2019-8210, cve-2019-8211, cve-2019-8212, cve-2019-8213, cve-2019-8214, cve-2019-8215, cve-2019-8216, cve-2019-8217, cve-2019-8218, cve-2019-8219, cve-2019-8220, cve-2019-8221, cve-2019-8222, cve-2019-8223, cve-2019-8224, cve-2019-8225, cve-2019-8226, cve-2019-8369, cve-2019-8370
1.8.1                                                        cve-2015-9476, cve-2019-10437, cve-2019-10438, cve-2019-10439
1.8.13                                                       cve-2019-17574
1.8.2                                                        cve-2019-16097
1.8.28                                                       cve-2019-14287
1.8.7                                                        cve-2015-9505, cve-2015-9506, cve-2015-9507, cve-2015-9508, cve-2015-9509, cve-2015-9510, cve-2015-9511, cve-2015-9512, cve-2015-9513, cve-2015-9514, cve-2015-9515, cve-2015-9516, cve-2015-9517, cve-2015-9518, cve-2015-9519, cve-2015-9520, cve-2015-9521, cve-2015-9522, cve-2015-9523, cve-2015-9524, cve-2015-9525, cve-2015-9526, cve-2015-9527, cve-2015-9528, cve-2015-9529, cve-2015-9530, cve-2015-9531, cve-2015-9532, cve-2015-9533, cve-2015-9534, cve-2015-9535, cve-2015-9536
1.8.x                                                        cve-2015-9505, cve-2015-9506, cve-2015-9507, cve-2015-9508, cve-2015-9509, cve-2015-9510, cve-2015-9511, cve-2015-9512, cve-2015-9513, cve-2015-9514, cve-2015-9515, cve-2015-9516, cve-2015-9517, cve-2015-9518, cve-2015-9519, cve-2015-9520, cve-2015-9521, cve-2015-9522, cve-2015-9523, cve-2015-9524, cve-2015-9525, cve-2015-9526, cve-2015-9527, cve-2015-9528, cve-2015-9529, cve-2015-9530, cve-2015-9531, cve-2015-9532, cve-2015-9533, cve-2015-9534, cve-2015-9535, cve-2015-9536
1.9                                                          cve-2015-9462
1.9.1                                                        cve-2018-16301, cve-2019-15165
1.9.10                                                       cve-2015-9505, cve-2015-9506, cve-2015-9507, cve-2015-9508, cve-2015-9509, cve-2015-9510, cve-2015-9511, cve-2015-9512, cve-2015-9513, cve-2015-9514, cve-2015-9515, cve-2015-9516, cve-2015-9517, cve-2015-9518, cve-2015-9519, cve-2015-9520, cve-2015-9521, cve-2015-9522, cve-2015-9523, cve-2015-9524, cve-2015-9525, cve-2015-9526, cve-2015-9527, cve-2015-9528, cve-2015-9529, cve-2015-9530, cve-2015-9531, cve-2015-9532, cve-2015-9533, cve-2015-9534, cve-2015-9535, cve-2015-9536
1.9.2                                                        cve-2019-17543
1.9.4                                                        cve-2019-16866
1.9.6                                                        cve-2019-16278, cve-2019-16279
1.9.x                                                        cve-2015-9505, cve-2015-9506, cve-2015-9507, cve-2015-9508, cve-2015-9509, cve-2015-9510, cve-2015-9511, cve-2015-9512, cve-2015-9513, cve-2015-9514, cve-2015-9515, cve-2015-9516, cve-2015-9517, cve-2015-9518, cve-2015-9519, cve-2015-9520, cve-2015-9521, cve-2015-9522, cve-2015-9523, cve-2015-9524, cve-2015-9525, cve-2015-9526, cve-2015-9527, cve-2015-9528, cve-2015-9529, cve-2015-9530, cve-2015-9531, cve-2015-9532, cve-2015-9533, cve-2015-9534, cve-2015-9535, cve-2015-9536
1.x                                                          cve-2019-0227
10                                                           cve-2018-2799, cve-2019-1314, cve-2019-1378, cve-2019-15847, cve-2019-2765
10.0                                                         cve-2019-13411, cve-2019-15066, cve-2019-15626, cve-2019-15627
10.0.0.372                                                   cve-2013-3249
10.0.2                                                       cve-2019-17223, cve-2019-17576, cve-2019-17577, cve-2019-17578
10.1.3                                                       cve-2010-5337, cve-2010-5338, cve-2010-5339
10.13.6                                                      cve-2018-4277
10.14.1.0                                                    cve-2018-1313
10.2.0                                                       cve-2010-5336, cve-2010-5337, cve-2010-5338, cve-2010-5339, cve-2010-5340
10.2.1                                                       cve-2010-5334, cve-2010-5335, cve-2010-5336, cve-2010-5337, cve-2010-5338, cve-2010-5339, cve-2010-5340
10.3.1.4                                                     cve-2018-1313
10.3.6.0.0                                                   cve-2019-2887, cve-2019-2888, cve-2019-2890, cve-2019-2891
10.5                                                         cve-2019-18225
10.6.1                                                       cve-2019-3652, cve-2019-3653
10.6.6                                                       cve-2019-17059
10.7                                                         cve-2019-18355, cve-2019-18356, cve-2019-18357
1000                                                         cve-2019-17624
1000n                                                        cve-2019-17600
100a35                                                       cve-2019-17509, cve-2019-17510
10mb                                                         cve-2019-17545
11                                                           cve-2019-2765, cve-2019-2961, cve-2019-3008, cve-2019-3010
11.0                                                         cve-2019-15626, cve-2019-15627
11.0.4                                                       cve-2019-2894, cve-2019-2933, cve-2019-2945, cve-2019-2949, cve-2019-2958, cve-2019-2962, cve-2019-2964, cve-2019-2973, cve-2019-2975, cve-2019-2977, cve-2019-2978, cve-2019-2981, cve-2019-2983, cve-2019-2987, cve-2019-2988, cve-2019-2992, cve-2019-2999
11.1                                                         cve-2019-18225
11.1.1                                                       cve-2018-4277
11.1.1.9.0                                                   cve-2019-2898, cve-2019-2899, cve-2019-2904, cve-2019-2906, cve-2019-3012
11.1.2.4                                                     cve-2019-2927, cve-2019-2941, cve-2019-2959
11.1.2.4.0                                                   cve-2019-2899
11.2.0.4                                                     cve-2019-2909, cve-2019-2954, cve-2019-2955
11.2.1                                                       cve-2018-15333
11.4.1                                                       cve-2018-4277
11.5.2                                                       cve-2019-17397
11.x                                                         cve-2019-18225
117918                                                       cve-2016-6087
12                                                           cve-2019-3689
12.0                                                         cve-2015-8220, cve-2019-15626, cve-2019-15627, cve-2019-18225
12.0.0                                                       cve-2019-15954
12.0.2                                                       cve-2019-2979, cve-2019-2980
12.0.3                                                       cve-2019-2979, cve-2019-2980
12.1                                                         cve-2019-17366, cve-2019-18225
12.1.0.2                                                     cve-2019-2909, cve-2019-2940, cve-2019-2954, cve-2019-2955, cve-2019-2956
12.1.0.34                                                    cve-2019-3957
12.1.0.5.0                                                   cve-2019-2895
12.1.1-12.1.3                                                cve-2019-2930, cve-2019-2942, cve-2019-2990, cve-2019-2994, cve-2019-2995, cve-2019-3000, cve-2019-3022
12.1.3                                                       cve-2019-2925
12.1.3.0.0                                                   cve-2019-2887, cve-2019-2888, cve-2019-2890, cve-2019-2891, cve-2019-2899, cve-2019-2904
